category,count,ctchat,m3d,med3dvlm,medevalkit,medgemma,merlin,radfm,vila_m3_vista3d
Adjacency & Containment,4396,37.37,27.39,30.10,32.07,28.78,27.84,23.82,20.20
Anterior-Posterior (Depth) Relations,1688,35.37,27.49,28.91,33.89,32.82,29.92,30.15,29.38
Laterality & Bilateral Symmetry,6403,38.40,29.85,31.47,36.00,35.62,26.85,31.08,26.83
Longitudinal (Vertical) Position,4498,31.81,27.19,29.30,28.92,27.03,26.19,21.37,19.25
Medial-Lateral Orientation (Centricity),2274,46.09,30.04,31.88,40.63,35.84,30.56,31.22,30.65
Spatial Extent & Boundaries,1263,36.34,31.20,31.12,39.19,36.90,29.06,30.48,24.94
